AN	An
in	in
4.	4.
grad	Grad
/	/

Sein	sein
Blatt	Blatt
iſt	ist
wie	wie
ein	ein
Hertz	Herz
/	/
darumb	darum
es	es
zu	zu
den	den
Arterien	Arterien
gerechnet	gerechnet
wirdt	wird
/	/
vnnd	und
wie	wie
ein	ein
Weyenfell	Weihenfell
iſts	ist es
inwendig	inwendig
/	/
daher	daher
es	es
ſeinen	seinen
Namen	Namen
vberkommen	überkommen
hat	hat
Signaria	Signaria
,	,

ſein	seine
Wurtz	Wurz
iſt	ist
ſchneeweiſz	schneeweiß
/	/
an	an
geſchmack	Geschmack
ſchier	schier
wie	wie
Suͤſzholtz	Süßholz
/	/
aber	aber
viel	viel
dicker	dicker
/	/

wechſzt	wächst
Manslang	mannslang
in	in
die	die
erden	Erde
/	/

purgiert	purgiert
in	in
den	den
Wein	Wein
gelegt	gelegt
/	/
gleich	gleich
wie	wie
Gamanderlein	Gamanderlein
/	/

waͤchſzt	wächst
allein	allein
an	an
ſchifferigen	schieferigen
orten	Orten
/	/

die	die
Wurtz	Wurz
iſt	ist
gar	gar
dick	dick
als	als
ein	ein
Daum	Daumen
/	/
oder	oder
zwen	zwei
Finger	Finger
/	/

iſt	ist
in	in
keinem	keinem
Kraͤuterbuch	Kräuterbuch
beſchriben	beschrieben
/	/
waͤchſzt	wächst
vmb	um
S.	S.
Gewehr	Gewehr
am	am
Rheinſtrom	Rheinstrom
in	in
alten	alten
Haͤuſern	Häusern
vnd	und
Mauren	Mauern
/	/
dariñen	darinnen
nicht	nicht
Leut	Leute
wohnen	wohnen
.	.

Ich	ich
hab	hab
an	an
mir	mir
probiert	probiert
ſelbſt	selbst
/	/
das	dass
nichts	nichts
edlers	edleres
iſt	ist
das	das
Hertz	Herz
zu⸗	zu
ſtaͤrcken	stärken
/	/

dann	denn
es	es
purgiert	purgiert
Tartariſche	tartarische
Weinſteiniſche	weinsteinische
feuchtigkeit	Feuchtigkeit
/	/
darumb	darum
ichs	ich es
hieher	hierher
geſetzt	gesetzt
habe	habe
.	.

Gamanderleinkraut	Gamanderleinkraut
mit	mit
den	den
blawen	blauen
Blumen	Blumen
/	/
ſo	so
im	im
Mayen	Mai
bluͤet	blüht
/	/
hat	hat
gleich	gleich
ſolch	solch
ſubtiles	subtiles
Saltz	Salz
/	/
wie	wie
von	von
jhm	ihm
geſchriben	geschrieben
ſtehet	steht
im	im
Buch	Buch
von	von
den	den
vier	vier
erſten	ersten
Materien	Materien
aller	aller
ding	Dinge
/	/

damit	damit
es	es
durchtringet	durchdringt
vnd	und
durchgehet	durchgeht
/	/
auch	auch
auffloͤſzt	auflöst
vnd	und
erweicht	erweicht
alle	alle
Weinſteiniſche	weinsteinische
grobe	grobe
ſandige	sandige
feuchtigkeit	Feuchtigkeit
der	der
Glieder	Glieder
/	/
allein	allein
in	in
den	den
Wein	Wein
gelegt	gelegt
.	.

diſz	dies
purgiert	purgiert
natuͤrlich	natürlich
ohne	ohne
allen	allen
ſchmertzen	Schmerz
.	.

Auch	auch
ſo	so
man	man
dieſer	dieser
Kraͤuter	Kräuter
eins	eins
nimpt	nimmt
anderthalb	anderthalb
handvoll	Hand voll
/	/
darzu	dazu
auſz	aus
dem	dem
4.	4.
grad	Grad
deſz	des
Krebs	Krebses
I.	eine
handvoll	Hand voll
/	/
vnd	und
auſz	aus
dem	dem
4.	4.
grad	Grad
deſz	des
Schuͤtzens	Schützen
ein	eine
handvoll	Hand voll
/	/
ſo	so
iſts	ist es
ein	ein
treffenlicher	trefflicher
Wundtranck	Wundtrank
/	/
nimbt	nimmt
alle	alle
grobheit	Grobheit
auſz	aus
den	den
ſchaͤden	Schäden
/	/
purgiert	purgiert
ſie	sie
/	/
vnd	und
machet	macht
einen	einen
guten	guten
grund	Grund
darinnen	darin
/	/
durchtringet	durchdringt
alles	alles
/	/
vnd	und
reiniget	reinigt
wo	wo
es	es
hinkompt	hinkommt
.	.

lindert	lindert
/	/
weichet	weicht
/	/
vnd	und
zeitiget	zeitigt
ſie	sie
mit	mit
macht	Macht
/	/

aber	aber
die	die
Pulver	Pulver
muſz	muss
man	man
nicht	nicht
hierauſz	hieraus
machen	machen
/	/
ſonder	sondern
auſz	aus
der	der
vollkom̃enheit	Vollkommenheit
deſz	des
Waſſermans	Wassermanns
/	/
mit	mit
dem	dem
Scorpion	Skorpion
vnd	und
Wider	Widder
/	/
nach	nach
art	Art
vnd	und
kunſt	Kunst
der	der
Figur	Figur
.	.

So	so
er	er
dieſes	dieses
gibt	gibt
ein	ein
tropffen	Tropfen
alle	alle 
Morgen	Morgen
Nuͤchtern	nüchtern
/	/
ſo	so
zerfallet	zerfällt
der	der
Stein	Stein
in	in
drey	drei
tagen	Tagen
ohne	ohne
allen	allen
ſchaden	Schaden
vnd	und
gefahr	Gefahr
der	der
Blaſen	Blase
/	/
vnd	und
alle	alle
ſchmertzen	Schmerzen
vnd	und
nachtheil	Nachteil
der	der
Glieder	Glieder
.	.

Sollen	sollen
aber	aber
zu	zu
ſolcher	solcher
Kunst	Kunst
eingeſetzt	eingesetzt
werden	werden
/	/
abgethan	abgetan
vñ	und
zubereit	zubereitet
den	den
erſten	ersten
tag	Tag
Maij	Mais
.	.

Der	der
Schneekoͤnig	Schneekönig
iſt	ist
ſolcher	solcher
ſubtilen	subtilen
ſubſtantz	Substanz
/	/
das	dass
er	er
einen	einen
jeden	jeden
Stein	Stein
zermahlet	zermahlt
vnd	und
zerſchmeltzt	zerschmilzt
in	in
fuͤnff	fünf
viertel ſtunden	Viertelstunden
/	/

Auch	auch
ſetze	setze
ich	ich
hieher	hierher
die	die
groſſe	Große
Rebarra	Rhabarber
/	/
welche	welche
ein	ein
geſchlecht	Geschlecht
deſz	des
Rumicis	Rumex
iſt	ist
/	/

ſchmeckt	schmeckt
vbel	übel
ſeiner	seiner
erſten	ersten
groben	groben
Materien	Materien
halben	halber
/	/
purgirt	purgiert
die	die
Leber	Leber
/	/
wie	wie
ſie	sie
ſagen	sagen
/	/
Aber	aber
viel	viel
mehr	mehr
die	die
Melancholica	Melancholie
,	,

dann	denn
ſo	so
ſolche	solche
zwo	zwei
Materien	Materien
zuſammen	zusammen
kommen	kommen
/	/
ſo	so
wird	wird
ein	ein
Tartarum	Tartaros
darauſz	daraus
/	/

das	das
purgiert	purgiert
die	die
Rebarbara	Rhabarber
/	/
ſo	so
man	man
jhr	ihr
die	die
Tinctur	Tinktur
nimbt	nimmt
/	/

aber	aber
ohn	ohne
die	die
Tinctur	Tinktur
Purgiert	purgiert
ſie	sie
wol	wohl
/	/

aber	aber
ſie	sie
beleydiget	beleidigt
die	die
vmbligende	umliegenden
Glieder	Glieder
viel	viel
mehr	mehr
dann	denn
ſie	sie
nutz	Nutzen
bringet	bringt
.	.

Derhalben	derhalben
hab	habe
ich	ich
ſie	sie
hieher	hierher
geſetzt	gesetzt
/	/

jhre	ihre
Tinctur	Tinktur
leget	legt
ſich	sich
an	an
.	.

Dergleichen	dergleichen
thut	tut
auch	auch
Roth	Rotes
Ampfferkraut	Ampferkraut
vnd	und
wurtzel	-wurzel
/	/
welches	welches
ein	eine
kleine	kleine
ſuͤſſe	Süße
in	in
ſich	sich
hat	hat
/	/
die	die
allhieher	allhierher 
gehoͤrt	gehört
zu	zu
dem	dem
Blut	Blut
/	/

hat	hat
aber	aber
auch	auch
eine	eine
Tinctur	Tinktur
.	.

doch	doch
zuvor	zuvor
ſoll	soll
man	man
jhr	ihr
die	die
grobe	grobe
feuchtigkeit	Feuchtigkeit
abziehen	abziehen
mit	mit
Waſſer	Wasser
vnd	und
Wein	Wein
/	/
wie	wie
das	das
gelernet	gelernt
wird	wird
im	im
Buch	Buch
de	de
Correctionibus	correctionibus
.	.

Auch	auch
hab	habe
ich	ich
hieher	hierher
geſetzt	gesetzt
das	das
edele	edle
wolriechende	wohlriechende
Camillen kraͤutlein	Kamillenkräutlein
/	/
das	das
kleine	kleine
/	/

Das	das
muſz	muss
man	man
aber	aber
colligeren	kolligieren
im	im
Mayen	Mai
/	/
ſo	so
die	die
Sonne	Sonne
noch	noch
im	im
Stier	Stier
iſt	ist
/	/
deſz	des
Morgens	Morgens
fruͤhe	frühe
/	/
ehe	ehe
der	der
Tawe	Tau
abkompt	abkommt
/	/
vnder	unter
dem	dem
ſchatten	Schatten
gedoͤrret	gedörrt
/	/

So	so
purgiert	purgiert
es	es
auch	auch
Weinſteiniſche	weinsteinische
Materien	Materien
/	/
in	in
den	den
Wein	Wein
gelegt	gelegt
/	/
wie	wie
vom	vom
Gamanderle	Gamanderlein
geſagt	gesagt
iſt	ist
.	.

Auch	auch
hab	habe
ich	ich
hieher	hierher
geſetzt	gesetzt
Roſzmiſt	Rossmist
/	/
ſo	so
ſie	sie
auff	auf
dem	dem
Graſz	Gras
gehen	gehen
im	im
anfang	Anfang
deſz	des
Mayens /	Mais
vnd	und
auſzgang	Ausgang
des	des
Aprils	Aprils
/	/
welches	welches
mit	mit
einem	einem
weiſſen	weißen
Wein	Wein
der	der
etwas	etwas
ſuͤſzlicht	süßlich
iſt	ist
/	/
ſo	so
friſch	frisch
maceriert	maceriert
vber	über
nacht	Nacht
/	/

ſo	so
hilfft	hilft
es	es
ſie	sie
/	/

vnd	und
auſzgebrennt	ausgebrannt
mit	mit
einem	einem
Malvaſier	Malvasier
oder	oder
gutem	gutem
Wein	Wein
/	/
ſo	so
thut	tut
es	es
alle	alles
Hertzkloffen	Herzklopfen
/	/
vnd	und
grobſandige	grobsandige
Weinſteinige	weinsteinige
Materien	Materien
hinweg	hinweg
/	/
vnd	und
ſtillet	stillt
alſo	also
alles	alles
Hertzklopffen	Herzklopfen
/	/
das	das
grobe	grobe
Weinſteinige	weinsteinige
Blut	Blut
/	/
vnd	und
was	was
dergleichen	dergleichen
iſt	ist
.	.

Dieſer	dieser
Kraͤuter	Kräuter
ſeind	sind
gar	gar
viel	viele
/	/
welche	welche
nach	nach
krafft	Kraft
vnd	und
art	Art
dieſer	dieser
geſetzten	gesetzten
Kraͤuter	Kräuter
judiciert	judiziert
ſollen	sollen
werden	werden
/	/
ſo	so
man	man
ſie	sie
vorhanden	vorhanden
hat	hat
/	/
nach	nach
dem	dem
Buch	Buch
der	der
Signatur	Signatur
/	/
welches	welches
an	an
ſeinem	seinem
ort	Ort
gelehrnet	gelernt
wird	wird
.	.

Choleræ	Cholerae
.	.

IN	in
dieſem	diesem
grad	Grad
ſeind	sind
alle	alle
die	die
Kraͤuter	Kräuter
/	/
welche	welche
die	die
Materiam	materia
zugrob	zu grob
gehabt	gehabt
haben	haben
/	/
im	im
auffgang	Aufgang
deſz	des
Schuͤtzen	Schützen
/	/

ziehen	ziehen
ſonſt	sonst
nicht	nicht
fluͤſſe	Flüsse
an	an
ſich	sich
/	/
ſondern	sondern
ſeind	sind
einer	einer
auffloͤſenden	auflösenden
arth	Art
.	.

Als wann	alswann
man	man
nimpt	nimmt
Rettich	Rettich
9.	9.
theil	Teile
/	/
Maſzlieben	Maßliebchen
6.	6.
theil	Teile
/	/
Veyolen	Violen
drey	drei
theil	Teile
/	/
temperiert	temperiert
vnd	und
kochets	kocht es
wol	wohl
mit einander	miteinander
/	/

Iſt	ist
trefflich	trefflich
gut	gut
zu	zu
den	den
Choleriſchen	cholerischen
ſchaͤden	Schäden
/	/
zu	zu
erweichung	Erweichung
/	/
weichet	weicht
vnd	und
zeitigt	zeitigt
auch	auch
biſz	bis
in	in
den	den
dritten	dritten
grad	Grad
.	.

Dieſe	diese
ding	Dinge
ſollen	sollen
colligiert	kolligiert
werden	werden
im	im
anfang	Anfang
deſz	des
Brachmonats	Brachmonats
fruͤhe	früh
/	/
ehe	ehe
der	der
Tawe	Tau
von	von
den	den
Kraͤutern	Kräutern
fallt	fällt
/	/
vnd	und
alſo	also
zur	zur
noth	Not
behalten	behalten
.	.

Alſo	Also
:	:
Nimb	nimm
Schwartz	Schwarze
waldwurtzen	Waldwurzeln
anderthalb	anderthalb
handvoll	Hand voll
/	/
Lindenbluͤet	Lindenblüte
ein	eine
hand⸗	Hand
voll	voll
/	/
Wegerich	Wegerich
in	in
der	der
Jungfrawen	Jungfrau
eine	eine
halbe	halbe
handvoll	Hand voll
/	/
in	in
Wein	Wein
vnd	und
Waſſer	Wasser
geſotten	gesotten
/	/
oder	oder
Bier	Bier
/	/
wie	wie
es	es
die	die
Natur	Natur
erfordert	erfordert
.	.

Das	das
Bad	Bad
aber	aber
auſz	aus
dem	dem
erſten	ersten
oder	oder
andern	anderen
grad	Grad
deſz	des
Schuͤtzen	Schützen
/	/
Als	als
:	:

Nimb	nimm
ſchwartz Neſſel	Schwarznessel
9.	9.
theil	Teile
/	/
gelb	Gelbes
Eyſenkraut	Eisenkraut
6.	6.
theil	Teile
/	/
Ephewbletter	Efeublätter 
3.	3.
guter	guter
handvoll	Hand voll
/	/
Wein	Wein
vnnd	und
Waſſer	Wasser
/	/
oder	oder
ein	ein
geringes	geringes
Bier	Bier
/	/
wie	wie
man	man
es	es
ſieden	sieden
will	will
/	/
auff	auf
I.	eine
hand⸗	Hand
voll	voll
allzeit	allzeit
anderthalb	anderthalb
kandel	Kandel
/	/

daruͤber	darüber
Schweiſzbade	schweißbade
er	er
.	.

darauſz	daraus
mach	mach
ein	ein
Pflaſter	Pflaster
oder	oder
Pulver	Pulver
in	in
den	den
ſchaden	Schaden
.	.

Aber	aber
diſz	dieses
Pulver	Pulver
ſoll	soll
er	er
eſſen	essen
in	in
der	der
ſpeiſz	Speise
:	:

Ein	eine
ander	andere
weichung	Weichung
/	/
welche	welche
auch	auch
im	im
dritten	dritten
grad	Grad
ſtehet	steht
:	:

ruͤhrs	rühr es
alles	alles
durcheinander	durcheinander
/	/

die	die
weicht	weicht
biſz	bis
in	in
vierdten	vierten
grad	Grad
/	/
mit	mit
Zwibelſafft	Zwiebelsaft
.	.

Nim̃	nimm
Miſt	Mist
/	/
Senffkraut	Senfkraut
ſo	so
gruͤn	Grünes
Rocula	Rucola
genant	genannt
3.	3.
theil	Teile
/	/
Schluͤſſelblumen	Schlüsselblumen
2.	2.
theil	Teile
/	/
weiſz	weiße
Roſenbletter	Rosenblätter
ein	einen
theil	Teil
/	/

vermiſch	vermisch
es	es
durch einander	durcheinander
mit	mit
reinem	reinem
jungẽ	jungen
Speck	Speck
/	/
oder	oder
Merrettichſafft	Meerrettichsaft
/	/
mit	mit
Honig	Honig
bereit	bereitet
/	/
vnd	und
durcheinander	durcheinander
gemiſcht	gemischt
.	.

Dieſe	diese
weichung	Weichungen
lindern	lindern
vnd	und
zeitigen	zeitigen
die	die
ſchaͤden	Schäden
mit	mit
gewalt	Gewalt
/	/
ein	ein
jedes	jedes
doch	doch
allein	allein
in	in
ſeinem	seinem
grad	Grad
.	.

Dann	denn
dieſe	diese
Oel	Öle
vnd	und
Feiſzte	Feißte
ſtercken	stärken
die	die
weichungen	Weichungen
/	/
ein	ein
jedes	jedes
nach	nach
ſeiner	seiner
art	Art
/	/

doch	doch
ſeind	sind
etliche	etliche
Schaͤden	Schäden
/	/
welche	welche
kein	keine
Feiſzte	Feißte
leiden	leiden
.	.

Auch	auch
gibts	gibt es
ein	eine
gar	gar
koͤſtliche	köstliche
weichung	Weichung
/	/
vnd	und
zeucht	zieht
vom	vom
grund	Grund
herauſz	heraus
/	/

wa	etwa
man	man
nimbt	nimmt
Zeitloſen	Zeitlosen
drey	drei
theil	Teile
/	/
Schluͤſſelblumen	Schlüsselblumen
2.	2.
theil	Teile
/	/
Braunen	Braunen
Geelſuͤſz	Gelsüß
/	/
oder	oder
gemeine	Gemeine
Diſteln	Distel
/	/
die	die
im	im
Feld	Feld
waͤchſzt	wächst
/	/
welches	welches
man	man
Sawdiſtel	Saudistel
heiſzt	heißt
/	/
ein	einen
theil	Teil
/	/
zuſamen	zusammen
geſtoſſen	gestoßen
/	/

zeucht	zieht
auch	auch
hefftig	heftig
Fleich	Fleisch
/	/
das	dass
man	man
ſich	sich
verwundern	verwundern
muſz	muss
der	der
ſchlechten	schlechten
ding	Dinge
.	.

Auch	auch
kan	kann
man	man
eine	eine
weichung	Weichung
machen	machen
/	/
das	dass
man	man
auffziehen	aufziehen
kan	kann
einen	einen
ſchaden	Schaden
/	/
der	der
ſonſt	sonst
nicht	nicht
auffgieng	aufging
/	/
ſonder	sondern
alſo	also
gar	gar
veheilet	verheilt
/	/
das	dass
er	er
ehe	ehe
vberſich	über sich
zum	zum
Hertzen	Herzen
treibe	treibe
/	/
dann	dann
er	er
auffbreche	aufbreche 
/	/

Lehnenbletter	Lynenblätter
hat	hat
auch	auch
die	die
Natur	Natur
vnd	und
Art	Art
/	/
das	dass
ſo	so
man	man
ſie	sie
nimbt	nimmt
in	in
dem	dem
Krebs	Krebs
oder	oder
Scorpion	Skorpion
/	/
auch	auch
im	im
September	September
/	/
daſz	dass
ſie	sie
von	von
natur	Natur
hefftig	heftig
an	an
ſich	sich
zeucht	zieht
Gallſuͤchtige	gallsüchtige
fluͤſz	Flüsse
/	/

allein	allein
im	im
ſchatten	Schatten
gedoͤrret	gedörret
/	/
vnd	und
ein	ein
blat	Blatt
auff	auf
den	den
ſchaden	Schaden
gelegt	gelegt
/	/
ſo	so
zeucht	zieht
es	es
alle	alle
Gallſuͤchtige	gallsüchtigen
Fluͤſz	Flüsse
vnd	und
ding	Dinge
herauſz	heraus
/	/
laſzt	lässt
auch	auch
keinen	keinen
Fluſz	Fluss
nicht	nicht
ſtecken	stecken
/	/
der	der
von	von
der	der
Gallen	Galle
ein	einen
Vrſprung	Ursprung
hat	hat
/	/
oder	oder
eine	eine
einige	einige
Hitz	Hitze
in	in
ſich	sich
/	/
Abends	abends
vnd	und
Morgens	morgens
ein	ein
blat	Blatt
auff	auf
den	den
ſchadẽ	Schaden
gelegt	gelegt
.	.

Allein	allein
die	die
Lehnenbletter	Leinenblätter
vnd	und
bluͤet	-blüten
/	/
ſolt	sollte
man	man
etwas	etwas
zuſetzen	zusetzen
von	von
Rettichſaft	Rettichsaft
/	/
oder	oder
Merrettich	Meerrettich
/	/

ſonſt	sonst
zeucht	zeugt
er	er
blatern	Blattern
.	.

Das	das
thut	tut
auch	auch
Camepitis	Camepitis
lignola	lignola
,	,
auch	auch
die	die
jungen	jungen
ſchoſz	Schöße
von	von
den	den
edlen	edlen
weiſſen	weißen
Weinreben	Weinreben
/	/

Vnd	und
ſo	so
man	man
dieſe	diese
drey	drei
ding	Dinge
/	/
als	als
Weinreben	Weinreben
/	/
Lehnen	Leinen
/	/
Camepitis	Camepitis
,	,
zu	zu
aͤſchen	Asche
brennet	brennt
/	/
vnd	und
deren	deren
aͤſche	Asche
zweyer	zweier
Huͤner eyer	Hühnereier
dick	dick
in	in
Tuch	Tuch
gebunden	gebunden
/	/
in	in
Wein	Wein
gelegt	gelegt
/	/
ſo	so
digerierts	digeriert es
taͤglich	täglich
/	/
vnd	und
treibt	treibt
die	die
Waſſerſucht	Wassersucht
von	von
einem	einem
Menschen	Menschen
.	.

In	in
dem	dem
Zwilling	Zwilling
oder	oder
in	in
der	der
Wage	Waage
/	/
ſeind	sind
auch	auch
ding	Dinge
/	/
die	die
es	es
thun	tun
im	im
letzten	letzten
grad	Grad
/	/
ſeind	sind
auch	auch
viel	viele
ding	Dinge
/	/
die	die
die	die
Waſſerſucht	Wassersucht
alſo	also
hin	hin
verzehren	verzehren
/	/
als	als
vnzeitig	unzeitig
Camillenkraut	Kamillenkraut
zu	zu
aͤſchen	Asche
gebrant	gebrannt
/	/
vnd	und
alſo	also
gebraucht	gebraucht
/	/

Auch	auch
vnzeitige	unzeitige
Reinblumen	Rheinblumen
/	/
Tanacetum	tanacetum
genandt	genannt
/	/
auch	auch
der	der
Bocksbart	Bocksbart
/	/
auch	auch
der	der
gemeine	gemeine
Daurant	Taurant
/	/
welcher	welcher
in	in
den	den
erſten	ersten
grad	Grad
gehoͤrt	gehört
/	/
vnd	und
dergleichen	dergleichen
viel	viel
/	/

allein	allein
in	in
Wein	Wein
gelegt	gelegt
ſo	so
rohe	roh
/	/
thun	tun
ſie	sie
allgemach	allgemach
die	die
Waſſersucht	Wassersucht
hinweg	hinweg
/	/
welche	welche
von	von
einem	einem
Hertzklopffen	Herzklopfen
kompt /	kommt

auch	auch
Roſzmiſt	Rossmist
zu	zu
aͤſchen	Asche
gebrandt	gebrannt
/	/
vnd	und
alſo	also
gebraucht	gebraucht
im	im
Wein	Wein
/	/
thut	tut
die	die
Blut waſſerſucht	Blutwassersucht
/	/
welche	welche
von	von
der	der
Cholera	Cholera
kompt	kommt
/	/
hinweg	hinweg
.	.

Alſo	also
werden	werden
dieſe	diese
ding	Dinge
in	in
den	den
erſten	ersten
grad	Grad
geſetzt	gesetzt
/	/
in	in
welchem	welchem
der	der
Geiſt	Geist
vberfluͤſzig	überflüssig
iſt	ist
/	/
vnd	und
die	die
Materi	Materie
zugrob	zu grob
/	/

vnd	und
deſſelbenhalben	desselben halber
iſt	ist
jhr	ihr
Geiſt	Geist
durchtringent	durchdringend
/	/
zeucht	zieht
alle	alle
Geſchwulſt	Geschwülste
/	/
vnnd	und
Gifft	Gifte
hin	hin
.	.

Dann	denn
dieſe	diese
ding	Dinge
haben	haben
einen	einen
perfecten	perfekten
Geiſt	Geist
/	/
die	die
in	in
den	den
zweyen	zweien
erſten	ersten
graden	Graden
ſtehen	stehen
/	/
damit	damit
ſie	sie
vberfluͤſzige	überflüssige
Materi	Materie
an	an
ſich	sich
ziehen	ziehen
/	/
vnd	und
digerieren	digerieren
vnder	unter
ſich	sich
/	/

darnach	danach
der	der
Gewalt	Gewalt
der	der
Materi	Materie
iſt	ist
/	/
ſo	so
laſſen	lassen
ſie	sie
nichts	nichts
ſtecken	stecken
/	/
ſondern	sondern
nemmen	nehmen
allen	allen
vberfluſz	Überfluss
Materialiſch	materialisch
mit	mit
jhrem	ihrem
vollkommenen	vollkommenen
Geiſt	Geist
hinweg	hinweg
/	/
reinigen	reinigen
alſo	also
die	die
ſchaͤden	Schäden
/	/
vnd	und
alles	alles
was	was
von	von
Seelſuͤchtigen	gelbsüchtigen
Materialiſchen	materialischen
Fluͤſſen	Flüssen
vorhanden	vorhanden
iſt	ist
/	/
in	in
ſchaͤden	Schäden
vnd	und
am	am
Leib	Leib
.	.

Aber	aber
im	im
vierten	vierten
grad	Grad
deſz	des
Schuͤtzens	Schützen
purgieren	purgieren
etwas	etwas
/	/
vnd	und
ſonderlich	sonderlich
all	alle
Metall	Metalle
die	die
darinnen	darinnen
erfunden	erfunden
werden	werden
/	/
wie	wie
das	das
ordenlich	ordentlich
nach einander	nacheinander
erzelt	erzählt
wird	wird
werden	werden
.	.

Der	der
erſte	erste
grad	Grad
deſz	des
Widers	Widders
ſtehet	steht
in	in
der	der
vollkommenheit	Vollkommenheit
/	/
wie	wie
dann	dann
alle	alle
Sympatiſche	sympathischen
Zeichen	Zeichen
/	/

Vnd	und
dieſe	diese
Kraͤuter	Kräuter
werden	werden
hieher	hierher
geſetzt	gesetzt
/	/
darumb	darum
das	dass
jhr	ihr
Saltz	Salz
ſchier	schier
den	den
Schweffel	Schwefel
vbertringet	überdringt
/	/

vnd	und
das	das
Saltz	Salz
ſtehet	steht
im	im
andern	anderen
grad	Grad
/	/
wie	wie
das	das
an	an
ſeinem	seinem
orth	Ort
gelernet	gelernt
wird	wird
werden	werden
.	.

Der	der
Iungfrawen	Jungfrau
im	im
andern	anderen
grad	Grad
/	/

dahin	dahin
dieſe	diese
Kraͤuter	Kräuter
alle	alle
gehoͤren	gehören
/	/
deſz	dessen
Saltz	Salz
vnd	und
der	der
geſaltzenen	gesalzenen
ſubſtantz	Substanz
halber	halber
/	/

aber	aber
jhr	ihr
geſchmack	Geschmack
zeucht	zieht
den	den
Schweffel	Schwefel
an	an
/	/
drumb	darum
es	es
hieher	hierher
gesetzt	gesetzt
wird	wird
.	.

Dieſe	diese
Kraͤuter	Kräuter
ſeind	sind
dem	dem
Magen	Magen
im	im
Pulver	Pulver
oder	oder
Trank	Trank
trefflich	trefflich
gut	gut
/	/

dann	denn
die	die
Signatur	Signatur
gibt	gibt
jhnen	ihnen
zu	zu
dem	dem
Magen	Magen
den	den
groͤſten	größten
Preiſz	Preis
/	/

dann	denn
die	die
Signatur	Signatur
vergleicht	vergleicht
ſich	sich
gantz	ganz
vnd	und
gar	gar
mit einander	miteinander
/	/
wie	wie
das	das
an	an
ſeinem	seinem
orht	Ort
verzeichnet	verzeichnet
wird	wird
/	/

So	so
ſind	sind
ſie	sie
dem	dem
Miltz	Milz
fuͤrtrefflich	vortrefflich
gut	gut
/	/
loͤſchen	löschen
die	die
Gall	Galle
/	/
geben	geben
dem	dem
Magen	Magen
daͤwung	Dauung
/	/
jhrer	ihrer
weiſſen	weißen
ſubſtantz	Substanz
halben	halber
/	/

Ihrer	ihrer
Schweffeliſchen	schwefligen
ſubstantz	Substanz
halber	halber
reinigen	reinigen
ſie	sie
die	die
Venas	venas
XXX	Mesenterii
,	,

Ihres	ihres
ſaltz	Salzes
halben	halber
truͤcknen	trocknen
ſie	sie
das	das
Miltz	Milz
/	/
vnd	und
das	das
auff	auf
zweyerley	zweierlei
art	Art

1.	1.
Von	von
den	den
Maͤnglen	Mängeln
vnd	und
Faͤhleren	Fehlern
/	/
ſo	so
bey	bei
den	den
jungen	jungen
Zweigen	Zweigen
fuͤrfallen	vorfallen
.	.

2.	2.
Wie	wie
dieſelbigen	dieselben
zuverbeſſeren	zu verbessern
.	.

3.	3.
Von	von
dem	dem
Schrepffen	Schröpfen
/	/
Auffbinden	Aufbinden
/	/
vnnd	und
Einfriſten	Einfristen
der	der
Zweigen	Zweige
.	.

Faͤhler	Fehler
an	an
den	den
jungen	jungen
zweigen	Zweigen
.	.

ES	es
iſt	ist
auſz	aus
den	den
nechſt	nächst
vorgehenden	vorgehenden
zweyen	zwei
Capitlen	Kapiteln
/	/
gnugſam	genugsam
abzunemmen	abzunehmen
/	/
was	was
groſſen	großen
Fleiſſes	Fleißes
/	/
vnd	und
Auffachtung	Aufachtung
das	das
zweigen	Zweigen
erfordere	erfordere
/	/
damit	damit
daſſelbige	dasselbige
ordenlich	ordentlich
vnd	und
mit	mit
Nutz	Nutz
verrichtet	verrichtet
werde	werde
/	/
daſz	dass
man	man
namblich	nämlich
eingewurtzte	eingewurzelte
Pflantzstoͤck	Pflanzstöcke
habe	habe
/	/
gute	gute
/	/
fruchtbare	fruchtbare
Schoſz	Schosse
erwelle	erwähle
/	/
dieſelbigen	dieselbigen
recht	recht
kehre	kehre
/	/
ſchneide	schneide
/	/
vnd	und
einſtoſſe	einstoße
/	/
auch	auch
nachwerts	nachwärts
ſaͤuberlich	säuberlich
vermache	mache
/	/
vnd	und
fleiſſig	fleißig
verbinde	verbinde
.	.

Vnachtſamkeit	Unachtsamkeit
.	.

Dannenher	daher
jhren	ihrer
viel	viele
ſich	sich
beduncken	bedünken
laſſen	lassen
/	/
wann	wenn
daſſelbige	dasselbige
alles	alles
begerter maſſen	begehrtermaßen
wol	wohl
abgangen	abgegangen
/	/
Alsdann	alsdann
damit	damit
gnug	genug
ſey	sei
/	/
vnd	und
eben	eben
nicht	nicht
viel	viel
mehr	mehr
Bedenckens	Bedenkens
habe	habe
.	.
Alſo	also
daſz	dass
ſie	sie
darnach	danach
wenig	wenig
mehr	mehr
zu	zu
den	den
gemachten	gemachten
Zweigen	Zweigen
ſehen	sehen
/	/
wie	wie
es	es
vmb	um
dieſelbigen	dieselbigen
ſtahn	stehen
/	/
oder	oder
was	was
jhnen	ihnen
gepraͤſten	gebresten
