sobre	Sobre
plaço	plazo

y	Y
veniendo	viniendo
vos	vos
y	y
agiRe	Aguirre
	,
o	o
solo	solo
	,
presto	presto
soy	soy
livre	libre

el	El
estatua	estatua
de	de
ao	Afonso
Rodriguez	Rodríguez
	,
el	el
Bermegico	Bermejico
	,
quemaron	quemaron
.	--
y	y
estatua	estatua
del	del
doctor	doctor
sta	Santa
fe	Fe
.	--
y	y
la	la
muger	mujer
de	de
pablo	Pablo
de	de
ayllon	Ayllón
.	--
y	y
otra	otra
estatua	estatua
de	de
una	una
vieja	vieja
de	de
san	San
nicolas	Nicolás

por	Por
estar	estar
oje	hoje
en	en
casa	casa
del	del
xeque	jeque
	,
no	no
he	he
cumplido	cumplido
la	la
carta	carta

de	De
murçia	Murcia
	,
a	a
XX	XX
de	de
mayo	mayo
de	de
1563	1563

