Effter	Efter
fram	fram
,	,
det	det
ähr	är
orsaken	orsaken
,	,
då	då
förmanthes	förmanades
them	dem
som	som
ähre	är
tilbake	tillbaka
att	att
the	de
Låtha	Låta
komma	komma
fram	fram
til	till
bruket	bruket
thet	det
the	de
skyllige	skyldiga
ähre	är
widh	vid
boott	bot
.	.
)	)
h	h
.	.
Elin	Elin
i	i
Bokarby	Bokarby
lätt	lät
förste	förste
sin	sin
opbiuda	uppbjuda
sitt	sitt
heman	hemman
som	som
Olof	Olof
Andersson	Andersson
hade	hade
tagit	tagit
af	av
henne	henne
til	till
kiöpz	köps
och	och
gifwidt	givit
henne	henne
therpå	därpå
12	12
lod	lod
silfwer	silver
lodet	lodet
för	för
2	2
mr	mr
och	och
10	10
daler	daler
Penningr	Penningar
då	då
tilfrågades	tillfrågades
Olof	Olof
Nilsson	Nilsson
hennes	hennes
Son	Son
om	om
han	han
icke	icke
wille	ville
behollatt	behålla
.	.
	
Så	Så
hade	hade
han	han
och	och
gifwedt	givit
alle	alla
desse	dessa
förerne	förarna
tilhopa	tillhopa
i	i
wengåfwor	vängåvor
eller	eller
Stille	Stille
Penningar	Penningar
4	4
daler	daler
.	.
	
Jtem	Item
hade	hade
fönne	fönne
Staphan	Staphan
kioptt	köpt
af	av
h	h
.	.
Christin	Christin
Per	Per
Nilssons	Nilssons
i	i
Akra	Akra
et	ett
öres	öres
Land	Land
Jord	Jord
och	och
hwsen	husen
och	och
gifvvett	givit
henne	henne
therföre	därför
472	472
daler	daler
Penningr	Penningar
.	.
	
Jtem	Item
hade	hade
han	han
slagitt	slagit
Morthens	Morthens
Piga	Piga
een	en
Pust	Pust
wart	vart
derför	därför
saack	sak
3	3
mr	mr
.	.
	
Olof	Olof
i	i
Bengzbo	Bengzbo
,	,
Giesmyre	Giesmyre
och	och
Fänebeckiekarlarne	Fänebeckiekarlarna
kärde	kärade
att	att
Matz	Matz
i	i
Långrudhe	Långrudhe
hadhe	hade
stenkt	stänkt
altt	allt
för	för
myckitt	mycket
skough	skog
in	in
.	.
	
Staphan	Staphan
i	i
Hof	Hof
är	är
kommen	kommen
i	i
rychte	rykte
för	för
sin	sin
lege	lege
Piga	Piga
,	,
och	och
ähr	är
han	han
skyll	skylld
samma	samma
genta	jänta
då	då
bekehde	bekände
Staphan	Staphan
att	att
han	han
Låg	Låg
när	när
henne	henne
een	en
natt	natt
,	,
men	men
fönne	fönne
Brita	Brita
som	som
ähr	är
belägrat	belägrat
af	av
Staphans	Staphans
drengh	dräng
Hans	Hans
,	,
sadhe	sade
att	att
hon	hon
Lågh	Låg
hoos	hos
honom	honom
tree	tre
nätter	nätter
åt	åt
slagh	slag
i	i
een	en
weku	vecka
,	,
Staphan	Staphan
feste	fäste
Lagh	Lag
att	att
göra	göra
sigh	sig
frij	fri
sielf	själv
12	12
neste	nästa
tingh	ting
.	.
	
Wart	Vart
för	för
den	den
skul	skull
han	han
saak	sak
80	80
daler	daler
och	och
hon	hon
40	40
daler	daler
på	på
h	h
.	.
M:ttz	M:ttz
Drotningens	Drottningens
nådige	nådiga
behagh	behag
.	.
	
Worthe	Vart
föreente	förenade
och	och
Lades	Lades
20	20
daler	daler
i	i
wij	vi
the	de
den	den
sig	sig
på	på
then	den
andre	andra
först	först
förbryther	förbryter
.	.
	
Anders	Anders
Skomakare	Skomakare
hade	hade
gådt	gått
obudin	objuden
till	till
gestebodh	gästbod
wart	vart
saack	sak
3	3
mr	mr
.	.
	
Wart	Vart
saack	sak
3	3
mr	mr
för	för
hwardere	vardera
Hans	Hans
i	i
Libbarebo	Libbarebo
hade	hade
bruttitt	brutit
thett	det
wij	vi
the	de
som	som
ähr	är
satt	satt
emillan	emellan
honom	honom
och	och
hans	hans
granne	granne
åhr	år
1619	1619
then	den
10	10
Martij	Martij
(	(
N.3	N.3
)	)
40	40
mr	mr
.	.
	
Bekom	Bekom
och	och
Pers	Pers
hustru	hustru
Syster	Syster
Peningr	Penningar
af	av
Erich	Erich
Olofsson	Olofsson
,	,
och	och
fördenskuld	fördenskull
hafr	har
M	M
.	.
Jöran	Jöran
inthet	intet
henne	henne
tiltala.1	tilltala
)	)
Anders	Anders
Perssons	Perssons
hustru	hustru
Syster	Syster
i	i
Göthebrunna	Göthebrunna
Elin	Elin
Anders	Anders
dotter	dotter
stog	stod
in	in
för	för
retten	rätten
och	och
til	till
stog	stod
sigh	sig
hafwa	ha
opburitt	uppburit
af	av
h	h
.	.
Karin	Karin
Erich	Erich
Abramssons	Abramssons
i	i
Hökeby	Hökeby
medan	medan
hon	hon
war	var
Enkia	Änka
Penig	Penning
10	10
daler	daler
(	(
,	,
hwilke	vilka
Penningr	Penningar
hon	hon
bekom	bekom
i	i
Skärplinge	Skärplinge
i	i
Löfsta	Löfsta
Sochen	Socken
af	av
Erich	Erich
Brom	Brom
för	för
sitt	sitt
möderne	möderne
och	och
Ladhe	Lade
them	dem
nider	ned
i	i
Hökeby	Hökeby
.	.
hwarföre	varför
Elin	Elin
Andersdotter	Andersdotter
afhende	avhände
sig	sig
och	och
sine	sina
effterkommare	efterkommande
och	och
till	till
ägnade	ägnade
2	2
)	)
h	h
.	.
Karin	Karin
och	och
hennes	hennes
arfwingr	arvingar
till	till
ewerdelig	evärdlig
ägendom	egendom
.	.
	
Matz	Matz
Benchtsson	Benchtsson
i	i
Långerudhe	Långerudhe
och	och
Thomas	Thomas
Matsson	Matsson
i	i
Läby	Läby
i	i
Börklinge	Börklinge
Sochen	Socken
och	och
theras	deras
bröder	bröder
och	och
Systrar	Systrar
hafua	har
opburit	uppburit
af	av
S	S
.	.
Olof	Olof
skrifware	skrivare
Penningr	Penningar
7	7
daler	daler
.	.
(	(
Jtem	Item
hafwa	har
the	de
opburit	uppburit
aT	att
h	h
.	.
Karin	Karin
Penningr	Penningar
17	17
dal	daler
.	.
	
Michil	Michil
Olofsson	Olofsson
i	i
Karby	Karby
berättadhe	berättade
att	att
Jöran	Jöran
Crutz	Crutz
borgare	borgare
i	i
Gäfle	Gäfle
hade	hade
sendt	sänt
till	till
hono	honom
25	25
få	få
Torre	Torra
gäddor	gäddor
och	och
Abborar	Abborrar
Smör	Smör
18	18
mr	mr
och	och
een	en
half	halv
tunna	tunna
Lax	Lax
näst	näst
för	för
Julen	Julen
hade	hade
fönne	fönne
Michil	Michil
begärat	begärt
lof	lov
af	av
HäredzFougdten	HäradsFogden
att	att
sälia	sälja
samma	samma
fisk	fisk
thet	det
han	han
och	och
lofwadhe	lovade
,	,
doch	dock
sedan	sedan
han	han
förnam	förnam
att	att
han	han
had	hade
*	*
soldt	sålt
något	något
ther	där
af	av
till	till
8	8
få	få
.	.
af	av
hwilke	vilka
8	8
få	få
Erich	Erich
Olofsson	Olofsson
togh	tog
5	5
få	få
effter	efter
sitt	sitt
Betzman	Betzman
och	och
ändå	ändå
kastat	kastat
bort	bort
widiorne	vidjorna
som	som
the	de
wore	vore
ombundne	ombundna
medh	med
,	,
då	då
togh	tog
Erich	Erich
Olofsson	Olofsson
ifrå	ifrån
honom	honom
17	17
få	få
Torfisk	Tonfisk
.	.
	
Thomas	Thomas
i	i
Grytteby	Grytteby
Per	Per
Larsson	Larsson
i	i
Bolmyra	Bolmyra
lätt	lät
tridie	tredje
sin	sin
opbiuda	uppbjuda
2	2
öres	öres
Land	Land
Jord	Jord
och	och
hus	hus
som	som
han	han
kiöptt	köpt
hade	hade
af	av
Morthen	Morthen
Larsson	Larsson
Ryttare	Ryttare
och	och
hans	hans
Systrar	Systrar
Barbara	Barbara
och	och
Malin	Malin
Lars	Lars
döttrar	döttrar
(	(
för	för
16	16
daler	daler
Pegr	Pegr
och	och
een	en
span	spann
hwete	vete
i	i
Stille	Stille
Jtem	Item
gaf	gav
han	han
Thomas	Thomas
i	i
Grytheby	Grytheby
i	i
Stille	Stille
eller	eller
wenskapzgåfwor	vänskapsgåvor
een	en
treggie	treggie
lodh	lod
silf	silver
skee	sked
effter	efter
han	han
ähr	är
i	i
börden	börden
)	)
.	.
	
Anders	Anders
Persson	Persson
i	i
Göthebrunna	Göthebrunna
stogh	stod
här	här
och	och
lof	lov
gaf	gav
(	(
h	h
.	.
Karin	Karin
S	S
.	.
Erich	Erich
Abramssons	Abramssons
på	på
sin	sin
barns	barns
wägna	vägnar
att	att
lossa	lossa
af	av
honom	honom
sin	sin
deel	del
i	i
Hökeby1	Hökeby
)	)
der	där
på	på
han	han
rechte	räckte
Anders	Anders
Höök	Höök
handen	handen
effter	efter
han	han
ähr	är
barnsens	barnens
Målzman	Målsman
.	.
	
Ma:ttz	Ma:ttz
Befalningzmans	Befallningsmans
Ehrlig	Ärlig
och	och
wälbetrod	välbetrodd
Hans	Hans
Jönssons	Jönssons
närware	närvaro
,	,
desse	dessa
Eedsworne	Edsvurna
såthe	såtar
i	i
Nämpnden	Nämnden
.	.
	
Jtem	Item
hade	hade
hennes	hennes
barns	barns
fäder	fäder
fadher	fader
Hans	Hans
Andersson	Andersson
kiöptt	köpt
af	av
Erich	Erich
Larsson	Larsson
i	i
Vpsala	Vpsala
någon	någon
Jordh	Jord
som	som
kiöpebrefweclt	köpebrevet
widare	vidare
vthwisar	utvisar
.	.
	
Hwad	Vad
Katzlinge	Katzlinge
widkommer	vidkommer
som	som
Michil	Michil
Morthess	Morthess
hade	hade
bort	bort
bytt	bytt
för	för
Myrkarsbo	Myrkarsbo
för	för
24	24
åhr	år
sedan	sedan
hade	hade
hwarken	varken
i	i
hans	hans
lijfztijd	livstid
eller	eller
sedan	sedan
han	han
död	död
blef	blev
,	,
warit	varit
Clandratt	Klandrat
för	för
ähn	än
nu	nu
detta	detta
åhr	år
624	624
af	av
hans	hans
mågh	måg
som	som
på	på
Myrkarsbo	Myrkarsbo
boor	bor
såsom	såsom
och	och
hans	hans
Son	Son
som	som
ähn	än
i	i
lijfwet	livet
ähr	är
,	,
hwilke	vilka
för	för
meene	menar
sigh	sig
wela	vilja
göra	göra
bythet	bytet
om	om
inthet	intet
som	som
emillan	emellan
deras	deras
fadher	fader
Michil	Michil
Morthensson	Morthensson
och	och
Anders	Anders
Erichsson	Erichsson
,	,
epter	efter
der	där
medh	med
icke	icke
ähr	är
Lagligen	Lagligen
tilgångitt	tillgånget
som	som
vthi	uti
thet	det
10	10
Cap.	Kap.
i	i
Jorda	Jorda
Balken	Balken
ståår	står
förmältt	förmält
.	.
	
Lasse	Lasse
Andersson	Andersson
i	i
Westerekeby	Westerekeby
hade	hade
doldt	dolt
een	en
lithen	liten
killa	kille
som	som
war	var
kommin	kommen
in	in
i	i
hans	hans
gård	gård
och	och
inthet	intet
oplyst	upplyst
then	den
wart	vart
saack	sak
3	3
mr	mr
Lades	Lades
withe	vite
40	40
mr	mr
att	att
ingen	ingen
må	må
förwijtha	förvita
honom	honom
derföre	därför
.	.
	
Olof	Olof
Persson	Persson
i	i
Laghmyra	Laghmyra
hade	hade
tagitt	tagit
een	en
Yxa	Yxa
olofwandes	olovandes
på	på
wägen	vägen
af	av
Michil	Michil
Erchsson	Erchsson
i	i
Granby	Granby
i	i
Börklinge	Börklinge
wart	vart
saak	sak
6	6
mr	mr
.	.
	
Pedher	Pedher
Anderson	Anderson
i	i
Smedby	Smedby
war	var
Stempd	Stämd
at	att
Suara	Svara
Arendatoren	Arrendatorn
,	,
wart	vart
Saker	Saker
till	till
3	3
.	.
mr	mr
.	.
till	till
widrare	vidare
Ransackningh	Rannsakning
.	.
	
Men	Men
der	där
han	han
her	här
efter	efter
öfwergifuer	övergiver
henne	henne
skulle	skulle
han	han
wara	vara
saker	saker
till	till
40	40
.	.
mr	mr
.	.
	
Och	Och
ssedan	sedan
be:te	be:te
Lars	Lars
Jönsson	Jönsson
war	var
Forrymdh	Förrymd
hade	hade
Erich	Erich
Pedersson	Pedersson
bortdölt	bortdolt
Elghhuden	Älghuden
och	och
henne	henne
gömt	gömt
Vndher	Under
ssitt	sitt
Stuffuugolff	Stuggolv
,	,
der	där
Lendz	Läns
och	och
Fierdingz	Fjärdings
Mannen	Mannen
ssedann	sedan
hade	hade
Funnet	Funnit
henne	henne
Jgen	Igen
,	,
och	och
Aldén	Allden
Stundh	Stund
be:te	be:te
Erich	Erich
Pedersson	Pedersson
hade	hade
Vthj	Uti
Saningh	Sanning
dölt	dolt
och	och
gömt	gömt
medh	med
be:te	be:te
Larss	Larss
Jönsson	Jönsson
,	,
derföre	därför
war	var
han	han
Licka	Lika
delachtigh	delaktig
medh	med
be:te	be:te
Larss	Larss
Jönsson	Jönsson
Vthj	Uti
Saken	Saken
kunde	kunde
För	För
then	den
skull	skull
Nempden	Nämnden
Jcke	Icke
Fria	Fria
honnom	honom
Jfrå	Ifrån
den	den
dorn	dom
Som	Som
Hans	Hans
Konungh	Konung
Ma:tz	Ma:tz
Breff	Brev
Jnnehåller	Innehåller
,	,
Bleff	Blev
derföre	därför
be:te	be:te
Erich	Erich
Pederssonn	Pederssonn
ssagt	sagt
at	att
föras	föras
öffwer	över
med	med
boo	bo
och	och
bohagh	bohag
till	till
Jngermanne	Jngermanne
Landh	Land
.	.
	
Sedhan	Sedan
Hadhe	Hade
be:te	be:te
Erich	Erich
OluffSon	OluffSon
Slaghit	Slagit
be:te	be:te
Pelle	Pelle
Pederssonn	Pederssonn
igenn	igen
tre	tre
blånader	blånader
medh	med
en	en
Stor	Stor
,	,
der	där
till	till
han	han
eij	ej
Nekadhe	Nekade
Vthan	Utan
sade	sade
at	att
han	han
måtte	måtte
någet	något
tagas	tagas
till	till
och	och
wäria	värja
sigh	sig
medh	med
,	,
wart	vart
derföre	därför
Saker	Saker
till	till
9	9
mr	mr
.	.
	
Hans	Hans
Jörnssonn	Jörnssonn
ij	i
wester	väster
Ekeby	Ekeby
war	var
stempd	stämd
af	av
Nempde	Nämnde
Mannen	Mannen
,	,
att	att
Suara	Svara
Arendatorenn	Arrendatorn
wart	vart
saker	saker
till	till
3	3
mr	mr
för	för
Swarlöse	Svarlösa
till	till
Widhare	vidare
,	,
ransackningh	rannsakning
.	.
	
Morthen	Morthen
i	i
Torkilsbo	Torkilsbo
hade	hade
klagemål	klagomål
på	på
sigh	sig
war	var
stempnd	stämd
kom	kom
inthet	intet
wart	vart
sack	sak
3	3
mr	mr
.	.
	
Kärde	Kärade
och	och
Anders	Anders
Andersson	Andersson
Höök	Höök
Lenuzman	Länsman
att	att
hans	hans
S	S
.	.
fadher	fader
Anders	Anders
Hock	Hock
Häredzskrifuare	Häradsskrivare
hade	hade
betaltt	betalat
Cronan	Kronan
een	en
stor	stor
hoop	hop
för	för
Holfwebo	Holfwebo
hemmanet	hemmanet
som	som
(	(
han	han
framdeles	framledes
bewisa	bevisa
wille	ville
)	)
.	.
	
Noch	Noch
Hans	Hans
broder	broder
som	som
knijffwen	kniven
drogh	drog
till	till
at	att
giöra	göra
skada	skada
,	,
doch	dock
ingen	ingen
giorde	gjorde
,	,
Sachfältes	Sakfälldes
till	till
Penninger	Penningar
—	—
3	3
mr	mr
.	.
	
Noch	Noch
wittnede	vittnade
Nempdemennerne	Nämndemännen
sampt	samt
andra	andra
inheredzmän	inhäradsmän
,	,
att	att
Edle	Ädle
och	och
welbördigh	välbördig
Magduualtz	Magduualtz
bönder	bönder
,	,
ähre	är
så	så
well	väl
the	de
,	,
såsom	såsom
hans	hans
Sättegårdh	Sättegårdh
Vthi	Uti
en	en
Boollby	Boollby
,	,
N	N
:	:
	
Till	Till
huilcket	vilket
be:te	be:te
Duwalt	Duwalt
och	och
sadhe	sade
sigh	sig
Lijcka	Lika
Såsom	Såsom
han	han
Arendet	Arrendet
aff	av
Hennes	Hennes
M:tz	M:tz
S	S
.	.
och	och
höglofligh	höglovlig
åminnelse	åminnelse
först	först
fånget	fångat
hafr	har
,	,
med	med
Vthsedhe	Utsäde
af	av
gamble	gamla
Roghen	Rågen
Lefwereret	Levererat
.	.
	
Nottegarn	Nottegarn
,	,
huilcke	vilka
han	han
aff	av
Tijerph	Tijerph
Sochn	Socken
på	på
Petters	Petters
åhr	år
Vpburit	Uppburit
hadhe	hade
,	,
thet	det
Hans	Hans
Jönsson	Jönsson
icke	icke
heller	heller
Neka	Neka
kunde	kunde
:	:
	
Noch	Noch
wittnede	vittnade
Nempdemennerne	Nämndemännen
sampt	samt
andra	andra
inherredz	inhärads
män	män
at	att
Hoffqwarn	Hoffqwarn
,	,
hafwer	har
af	av
ålder	ålder
Lydt	Lytt
och	och
Legat	Legat
Vnder	Under
Örby	Örby
gårdh	gård
,	,
ähr	är
och	och
Vprättat	Upprättat
med	med
Örby	Örby
Läns	Läns
omkåstnadh	omkostnad
.	.
	
Be:te	Be:te
Horkonna	Horkona
brijta	brijta
anders	anders
dotter	dotter
ähr	är
tilförennde	tillförne
dömdh	dömd
,	,
och	och
Vthaff	Utav
den	den
högloflige	höglovlige
Kong:	Kung:
Hoffräten	Hovrätten
till	till
bötet	bötet
40	40
dr	dr
resolverat	resolverat
.	.
	
Och	Och
huadh	vad
meehra	mera
hennes	hennes
S	S
.	.
swerfaders	svärfaders
gieldh	gäld
ännu	ännu
Restera	Restera
kunde	kunde
,	,
affdömdes	avdömdes
att	att
alle	alla
Erffwingerne	Arvingarna
skole	skola
ther	där
om	om
Lijcha	Lika
delachtighe	delaktiga
wara	vara
,	,
hwar	var
och	och
en	en
effter	efter
den	den
quota	kvota
the	de
erfft	ärvt
hafwa	har
.	.
	
Dernäst	Därnäst
företogos	företogs
fölliande	följande
opbod	uppbud
och	och
intechningar	intäckningar
.	.
	
Äfwenledes	Ävenledes
blef	blev
uppå	på
Gustaf	Gustaf
Michelssons	Michelssons
anhållan	anhållan
skatte	skatte
och	och
besittningz	besittnings
rätten	rätten
af	av
bemälte	bemälda
hemman	hemman
i	i
ÖsterEkeby	ÖsterEkeby
honom	honom
,	,
Gustaf	Gustaf
Michelsson	Michelsson
,	,
till	till
hända	handa
tridie	tredje
gången	gången
upbuden	uppbjuden
till	till
föllie	följe
af	av
bytes	bytes
brefwet	brevet
,	,
som	som
så	så
wahl	väl
nu	nu
som	som
wid	vid
förra	förra
tinget1	tinget
upwijst	uppvisat
och	och
upläst	uppläst
blef	blev
.	.
	
Cronobefallningzmannen	Kronobefallningsmannen
wällbetrodde	välbetrodde
Petter	Petter
Yckenberg	Yckenberg
lätt	lät
upläsa	uppläsa
högwälborne	högvälborne
herr	herr
baron	baron
och	och
landzhöfdingens	landshövdingens
bref	brev
och	och
ordres	ordres
till	till
sig	sig
af	av
denn	den
23	23
maii	maj
sidstledne	sistlidne
angående	angående
föreningz	förenings
träffande	träffande
om	om
en	en
wiss	viss
brandstodz	brandstods
uthgiörande	utgörande
hädan	hädan
effter	efter
,	,
lijkmätigt	likmätigt
Kongl.	Kungl.
Maij:t3	Maij:t
derom	därom
till	till
högwälbemälte	högvälbemälda
herre	herre
aflåtne	avlåtna
nådigste	nådigaste
/	/
bref	brev
och	och
skrifwelse	skrivelse
af	av
denn	den
28	28
martij	martij
sidstledne	sistlidne
,	,
begiärandes	begärandes
herr	herr
befallningzmannen	befallningsmannen
,	,
det	det
wille	ville
sochnens	socknens
förmodeligen	förmodligen
uthsedde	utsedde
fullmächtige	fullmäktige
yttra	yttra
sin	sin
mening	mening
derom	därom
.	.
	
Elliest	Eljest
hade	hade
han	han
ochså	också
instämdt	instämt
Michel	Michel
Andersson	Andersson
,	,
för	för
det	det
han	han
hela	hela
nästlidit	nästlidet
åhr	år
försummat	försummat
att	att
prsestera	prestera
sin	sin
hållskiutz	hållskjuts
wid	vid
giästgifware	gästgivare
gården	gården
,	,
hwilcken	vilken
emedan	emedan
han	han
der	där
till	till
intet	intet
neka	neka
kunde	kunde
uthan	utan
sade	sade
,	,
att	att
Swen	Swen
Pärsson	Pärsson
i	i
Tårkelsbo	Tårkelsbo
är	är
orsaken	orsaken
der	där
till	till
,	,
som	som
lofwat	lovat
skiutza1	skjutsa
för	för
honom	honom
men	men
det	det
intet	intet
hållit	hållit
;	;
Ty	Ty
pröfwas	prövas
skiäligt	skäligt
,	,
det	det
bör	bör
Michel	Michel
Andersson	Andersson
för	för
en	en
slijk	slik
hållskiutz	hållskjuts
efftersättiande	eftersättande
böta	böta
sina	sina
3	3
gånger	gånger
3	3
marker	marker
silfwermynt	silvermynt
effter	efter
1664	1664
åhrs	års
gästgifwareordningz	gästgivareordnings
13	13
§	§
,	,
kunnandes	kunnandes
han	han
sökia	söka
Swen	Swen
Pärsson	Pärsson
igen	igen
,	,
om	om
han	han
gitter	gitter
och	och
förmenar	förmenar
sig	sig
hafwa	ha
skiäl	skäl
der	där
till	till
.	.
	
Annicka	Annicka
Erichsdotter	Erichsdotter
nekade	nekade
härtill	härtill
och	och
sade	sade
,	,
att	att
hon	hon
intet	intet
sängelag	sänglag
hafft	haft
med	med
Petter	Petter
Silfverdahl	Silfverdahl
.	.
	
åter	åter
igen	igen
Erich	Erich
Pärsson	Pärsson
i	i
Labärga	Labärga
angående	angående
den	den
wäg	väg
,	,
hwarom	varom
dee	de
wid	vid
sidsta	sista
ting	ting
twistade	tvistade
,	,
med	med
påstående	påstående
,	,
det	det
måtte	måtte
han	han
antingen	antingen
få	få
bemälte	bemälda
wäg	väg
fram	fram
emellan	emellan
Huusby	Huusby
fiällar1	fjäll
i	i
Karby	Karby
giärde2	gärde
och	och
Labärga	Labärga
äng	äng
,	,
såsom	såsom
han	han
i	i
förra	förra
tider	tider
gådt	gått
,	,
och	och
att	att
Erich	Erich
Pärsson	Pärsson
till	till
den	den
ändan	ändan
skal	skall
böra	böra
taga	taga
opp	upp
sin	sin
giärdesgård	gärdesgård
och	och
flyttia	flytta
honom	honom
längre	längre
in	in
åth	åt
,	,
/	/
derest	därest
han	han
till	till
förenne	förene
stådt	stått
,	,
eller	eller
och	och
låta	låta
honom	honom
,	,
effter	efter
senare	senare
tiders	tiders
öfwerenskommelse	överenskommelse
,	,
haa	ha
wägen	vägen
öfwer	över
Labärga	Labärga
äng	äng
i	i
stället	stället
.	.
2:do	2:do
expenser	expenser
effter	efter
räkning	räkning
till	till
13	13
daler	daler
30	30
.	.
/	/
.	.
kopparmynt	kopparmynt
.	.
	
Erich	Erich
Pärsson	Pärsson
sade	sade
sig	sig
intet	intet
kunna	kunna
swara	svara
här	här
till	till
,	,
effter	efter
som	som
hemmanet	hemmanet
intet	intet
hörer	hör
honom	honom
uthan	utan
dess	dess
stiufbarn	stugbarn
till	till
,	,
hwarföre	varför
han	han
mente	menade
,	,
det	det
deras	deras
måhlsmän	målsmän
eller	eller
förmyndare	förmyndare
böra	böra
härom	härom
stämmas	stämmas
och	och
höras	höras
,	,
innan	innan
något	något
wist	visst
härom	härom
slutas	slutas
kan	kan
.	.
	
Men	Men
på	på
rättens	rättens
/	/
interposition	interposition
gaf	gav
Erich	Erich
Pärsson	Pärsson
äntebgen	äntligen
Olof	Olof
Olssön5	Olssön
den	den
oförrätt	oförrätt
han	han
giordt	gjort
honom	honom
medelst	medelst
berörde	berörda
skimpfelige	skimpfelige
expressioner	expressioner
,	,
som	som
förra	förra
protocollet	protokollet
wid	vid
handen	handen
gifwer	ger
,	,
effter	efter
som	som
Olof	Olof
Olssön	Olssön
båd	bad
honom	honom
om	om
förlåtelse	förlåtelse
och	och
tillstod	tillstod
,	,
att	att
det	det
skiedde	skedde
af	av
ett	ett
hastigt	hastigt
öfwerihlande	överilande
,	,
men	men
expenser	expenser
wille	ville
Erich	Erich
lijka	lika
fult	fullt
haa	ha
af	av
Olof	Olof
.	.
	
Mårten	Mårten
Mattsson	Mattsson
i	i
Allerbäcke	Allerbäcke
och	och
Johan	Johan
Olssön	Olssön
i	i
Grytby	Grytby
hade	hade
hwar	var
annan	annan
instämdt	instämt
,	,
den	den
förra	förra
den	den
senare	senare
angående	angående
det	det
Johan	Johan
Olssön	Olssön
skal	skall
uppå	uppå
en	en
af	av
honom	honom
praesenterad	presenterad
obligation	obligation
begiärt	begärt
och	och
fådt	fått
opbod	uppbjöd
å	å
Mårten	Mårten
Mattssons	Mattssons
hemman	hemman
i	i
Allerbäcke	Allerbäcke
,	,
det	det
han	han
så	så
mycket	mycket
mera	mera
will	vill
ogilla	ogilla
och	och
hafwa	har
ophäfwit	upphävit
,	,
som	som
han	han
aldrig	aldrig
skal	skall
uthgifwit	utgivit
en	en
slijk	slik
obligation	obligation
eller	eller
sätt	sätt
sitt	sitt
namn	namn
och	och
bomärcke	bomärke
derunder	därunder
,	,
mycket	mycket
mindre	mindre
det	det
bomärcke	bomärke
,	,
som	som
/	/
står	står
under	under
obligationen	obligationen
,	,
emedan	emedan
han	han
aldrig	aldrig
skal	skall
brukat	brukat
ett	ett
sådant	sådant
bomärcke	bomärke
,	,
wiliandes	viljandes
fördenskuld	fördenskull
,	,
det	det
Johan	Johan
Olssön	Olssön
skal	skall
bewijsa	bevisa
,	,
att	att
han	han
gifwit	givit
en	en
slijk	slik
obligation	obligation
ifrån	ifrån
sig	sig
och	och
sätt	sätt
bomärcket	bomärket
derunder	därunder
,	,
eller	eller
blifwa	bli
derföre	därför
effter	efter
lag	lag
ansedd	ansedd
,	,
så	så
wäl	väl
som	som
för	för
det	det
han	han
skal	skall
betingat	betingat
sig	sig
för	för
stort	stort
interesse	intresse
,	,
nembltgen	nämligen
i	i
tunna	tunna
.	.
sad	säd
om	om
åhret	året
för	för
låhnet	lånet
af	av
180	180
daler	daler
'	'
kopfarmynt	kopparmynt
;	;
den	den
senare	senare
den	den
förra	förra
med	med
påstående	påstående
,	,
att	att
Mårten	Mårten
Mattsson	Mattsson
sielf	själv
kommit	kommit
till	till
honom	honom
med	med
obligationen	obligationen
och	och
sielf	själv
ritat	ritat
bomärcket	bomärket
derunder	därunder
uti	uti
Johan	Johan
Olssons	Olssons
stuga	stuga
,	,
hwilcket	vilket
ock	ock
så	så
mycket	mycket
mera	mera
skal	skall
kunna	kunna
finnas	finnas
och	och
slutas	slutas
wara	vara
sant	sant
,	,
som	som
han	han
intet	intet
skal	skall
kunnat	kunnat
,	,
uthan	utan
revers	revers
och	och
behörig	behörig
säkerhet	säkerhet
af	av
hemmanetz	hemmanets
pantsätttiande	pantsätttande
,	,
låhna	låna
honom	honom
,	,
såsom	såsom
då	då
för	för
tiden	tiden
,	,
nemhligen	nämligen
åhr	år
1720	1720
,	,
när	när
låhnet	lånet
giordes	gjordes
till	till
hemmanetz	hemmanets
skatterättighets	skatterättighets
lösen	lösen
ifrån	ifrån
Kongl.	Kungl.
Maij:tt	Maij:tt
och	och
Cronan	Kronan
,	,
warande	varande
en	en
löös	lös
och	och
ledig	ledig
dräng	dräng
,	,
beklagandes	beklagandes
,	,
att	att
han	han
med	med
en	en
sådan	sådan
otack	otack
och	och
skamlig	skamlig
tillwijtelse	tillvitelse
skal	skall
blifwa	bli
bemött	bemött
för	för
sin	sin
honom	honom
giorde	gjorde
wälgärning	välgärning
,	,
hälst	helst
han	han
intet	intet
betingat	betingat
sig	sig
ofwanberöVde	ovanberövade
interesse	intresse
uthan	utan
tagit	tagit
obligationen	obligationen
sådan	sådan
emot	emot
,	,
som	som
han	han
war	var
skrifven	skriven
,	,
till	till
bewijs	bevis
att	att
han	han
borde	borde
haa	ha
för	för
/	/
skrifwit	skrivit
interesse	intresse
af	av
Mårten	Mårten
Mattsson	Mattsson
för	för
sitt	sitt
giorde	gjorda
låhn	lån
,	,
wiliandes	viljandes
fördenskuld	fördenskull
,	,
det	det
Mårten	Mårten
Mattsson	Mattsson
måtte	måtte
sielf	själv
lagligen	lagligen
omgälla	omgälla
det	det
han	han
honom	honom
ärnat	ärnat
.	.
	
Emedan	Emedan
Lars	Lars
Olssön	Olssön
Brundin	Brundin
såsom	såsom
hallnabrukare	hallnabrukare
af	av
bookhållaren	bokhållaren
Christian	Christian
Ohsengii1	Ohsengii
